OBJECTID,type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheigh,desc_,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,dir,LiDAR_Slope,Digital_Elevation_Model,Wind_Exposure,GeoMapUnit,slide_regime,pair,pair_linear_dist_m,iron_pan,slope_deg_field
1,WAYPOINT,31,57.060923000000003,-135.301094000000006,942166.111569260014221,1117036.101824860088527, , ,"Flag, Blue",0.000000000000000, , ,36.180000000000000,0.000000000000000,0.000000000000000,2019/06/27 17:45:31, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/27 09:45:31,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,7.7897282,36.7802696,2.666666666666667,Qu,low,16.000000000000000,184.390640999999988,1.000000000000000,10.000000000000000
2,WAYPOINT,32,57.059280999999999,-135.300758999999999,941995.691440999973565,1117106.506776730064303, , ,"Flag, Blue",0.000000000000000, , ,37.579999999999998,0.000000000000000,0.000000000000000,2019/06/27 20:30:50, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/27 12:30:50,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,8.0414314,30.3099995,5.000000000000000,Qu,high,16.000000000000000,184.390640999999988,0.000000000000000,8.000000000000000
3,WAYPOINT,27,57.095894000000001,-135.281869999999998,946238.966885330039077,1117068.283502510050312, , ,"Flag, Blue",0.000000000000000, , ,129.090000000000003,0.000000000000000,0.000000000000000,2019/06/25 20:21:47, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/25 12:21:47,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,6.2164664,111.4400024,4.000000000000000,KJkk,low,14.000000000000000,114.873068000000004,0.000000000000000,7.000000000000000
4,WAYPOINT,28,57.096462000000002,-135.283454000000006,946273.222830679966137,1116958.636965000070632, , ,"Flag, Blue",0.000000000000000, , ,107.430000000000007,0.000000000000000,0.000000000000000,2019/06/25 22:47:12, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/25 14:47:12,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,7.8939590,121.8244629,4.666666666666670,KJkk,high,14.000000000000000,114.873068000000004,0.000000000000000,8.000000000000000
5,WAYPOINT,29,57.063524000000001,-135.320016000000010,942126.902651999960653,1115855.138644519960508, , ,"Flag, Blue",0.000000000000000, , ,45.450000000000003,0.000000000000000,0.000000000000000,2019/06/26 17:57:34, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/26 09:57:34,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,7.5331779,52.3899994,9.000000000000000,Ks,low,15.000000000000000,170.636529999999993,1.000000000000000,8.000000000000000
6,WAYPOINT,30,57.065013999999998,-135.320647000000008,942276.072616570047103,1115772.282295850105584, , ,"Flag, Blue",0.000000000000000, , ,67.629999999999995,0.000000000000000,0.000000000000000,2019/06/26 20:57:39, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/26 12:57:39,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,9.9694490,72.9216690,8.333333333333330,Ks,high,15.000000000000000,170.636529999999993,0.000000000000000,9.000000000000000
7,WAYPOINT,15,57.075307000000002,-135.293528000000009,943835.610466510057449,1117029.792701140046120, , ,"Flag, Blue",0.000000000000000, , ,80.579999999999998,0.000000000000000,0.000000000000000,2019/06/16 18:20:37, , , , , , , , , , , , , ,garmin eTrex 20 Sof, ,2019/06/16 10:20:37,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,5.5260797,65.3399963,1.000000000000000,Ks,low,8.000000000000000,227.790296000000012,0.000000000000000,10.000000000000000
8,WAYPOINT,16,57.076084000000002,-135.297009000000003,943860.375386359984986,1116803.352563010063022, , ,"Flag, Blue",0.000000000000000, , ,119.200000000000003,0.000000000000000,0.000000000000000,2019/06/16 22:47:44, , , , , , , , , , , , , ,garmin eTrex 20 Sof, ,2019/06/16 14:47:44,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,6.5955539,94.8249969,5.666666666666670,Ks,high,8.000000000000000,227.790296000000012,0.000000000000000,5.000000000000000
9,WAYPOINT,17,57.082355999999997,-135.287826999999993,944687.279402200016193,1117142.397180029889569, , ,"Flag, Blue",0.000000000000000, , ,74.379999999999995,0.000000000000000,0.000000000000000,2019/06/17 18:53:32, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/17 10:53:32,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,4.4347515,69.9533310,4.666666666666670,Qu,low,9.000000000000000,57.020181000000001,0.000000000000000,6.000000000000000
10,WAYPOINT,19,57.084665000000001,-135.287103999999999,944947.003417080035433,1117112.749651599908248, , ,"Flag, Blue",0.000000000000000, , ,90.549999999999997,0.000000000000000,0.000000000000000,2019/06/17 22:43:03, , , , , , , , , , , , , ,garmin GPSMAP 64st, ,2019/06/17 14:43:03,0.000000000000000,0.000000000000000, , ,0,0.0000000,0.0000000,0.0000000,0,0, ,14.4484615,81.0899963,4.333333333333330,Qu,high,10.000000000000000,92.093699999999998,0.000000000000000,8.000000000000000
