treatment,plotnum,date,transectline (meters),slope (percent),fuel depth 1 (cm),fuel depth 2 (cm) ,fuel depth 3 (cm) ,0-0.25 inches intersections,0.25-1 inches intersections,1-3 inches intersections,0-0.25 inch sample plane (m),0.25-1 inch sample plane (m),1 - 3 inch sample plane (m),3+ sample plane length (m),diam1 (cm),spec1,decay class 1,diam2,species2,decay class 2,diam3,species3,decay class 3,diam4,species4,decay class 4,diam5,species5,decay class 5,diam6,species6,decay class 6,diam7,species7,decay class 7,diam 8,species8,decay class 8,diam9 ,species9,decay class 9,diam10,species10,decay class 10,diam11,species11,decay class 11,diam12,species12,decay class 12,diam13,species13,decay class 13,diam14,species14,decay class 14,diam15,species15,decay class 15,diam16,species 16,decay class 16,diam17,species17,decay class 17,diam 18,sp18,decay class 18,diam19,sp19,decay class 19,diam20,sp 20,decay class 20,diam 21,sp21,decay class 21,diam22,sp22,decay class 22,diam23,sp23,decay class 23,diam1 (inches),spec1,notes1,diam2,species2,notes2,diam3,species3,notes3,diam4,species4,notes4,diam5,species5,notes5,diam6,species6,notes6,diam7,species7,notes7,slope correction factor,constant,0-.25 number of intersections,0-.25 diameter suared,0-.25 specific gravity,0-.25 non horiz correction factor,0-.25 total line length,0-.25 tons/ acre,.25-1 number of intersections,.25-1  diameter suared,.25-1  specific gravity,.25-1  non horiz correction factor,.25-1  total line length,.25-1  tons/ acre,1-3 number of intersections,1-3  diameter suared,1-3   specific gravity,1-3   non horiz correction factor,1-3   total line length,1-3 tons/ acre,3+ diameter sqared -plot,3+ sound total diameter squared,3+ sound  specific gravity,3+ sound non horiz correction factor,3+ sound total line length,3+ sound tons/ acre,3+ rotten diam squared plot,3+ rotten total diameter suared,3+ rotten  specific gravity,3+ rotten non horiz correction factor,3+rotten total line length,3+ rotten tons/ acre,3+ sound tons / acre,3+ sound and rotten tons/ acre,total fine fuels tons/ acre,total tons/ acre,treatment,plotnum,3+ sound Mg/ha,3+ rotten Mg/ha,fine Mg/ha,total_Mg.per.ha,3+sound %,3+ rotten %,fine %,,1 hr proportion charred,10 hr proportion charred,1 hr proportion charred (tons/acre) uncorrected mass,10 hr proportion charred (tons/acre) uncorrected,1 hr char C (corrected for density and %C),10 hr char C (corrected for density and %C),Uncharred carbon in 1 and 10 hour fuels (tons/acre),Total C (1 & 10 hr) tons/acre,Total w/out accounting for char (1 & 10 hr),,Total C (1 & 10 hr) Mg/ha,Total char (1 & 10 hr) Mg/ha,,100 hour proportion char,100 hour black C (tons/acre),100 hour corrected tons/acre,,"Total black C, kg/ha 1000hr + ","Total black C (100 & 1000+), kg/ha","Total C, 1000+ corrected, kg/ha","Total C, 1000+ corrected, Mg/ha","Total C, corrected, 100 & 1000+ Mg/ha",,Total black C (Mg/ha),Total C(Mg/ha) via Donato method,Total C(Mg/ha) from initial survey (uncorrected for char),Total uncharred C(Mg/ha) from initial survey (corrected),Total C (Mg/ha) uncharred and charred using original numbers,,Difference in estimates (between survey in many cases),,Percent char (char/Brown's corrected CWD estimate),Percent char (char/resurvey estimate)
1,1,,15,8.75,,,,45,5,3,2,5,10,15,14.224,,4,9.398,,5,37.338,,1,27.432,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,45,0.122,0.48,1.15,6.56,5.397799697,5,0.289,0.48,1.13,16.4,0.558409582,3,2.76,0.4,1.1,32.8,1.297831621,377.78,377.78,0.405,1,49.2,36.33607929,0,0,0.3,1,49.2,0,36.33607929,36.33607929,7.2540409,43.59012018,1,1,81.3928176,0,16.24905162,97.64186921,0.83,0.00,0.17,,,,0,0,0,0,2.978104639,2.978104639,2.978104639,,6.670954392,0,,,0,1.297831621,,,0,,0,2.907142831,,0,9.578097223,48.82093461,48.82093461,48.82093461,,-39.24283738,,0.00%,0.00%
2,1,,15,8.75,,,,15,7,7,2,5,10,15,13.462,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,15,0.122,0.48,1.15,6.56,1.799266566,7,0.289,0.48,1.13,16.4,0.781773414,7,2.76,0.4,1.1,32.8,3.028273783,28.09,28.09,0.405,1,49.2,2.701785344,0,0,0.3,1,49.2,0,2.701785344,2.701785344,5.609313763,8.311099106,2,1,6.05199917,0,12.56486283,18.616862,0.33,0.00,0.67,,,,0,0,0,0,1.29051999,1.29051999,1.29051999,,2.890764778,0,,,0,3.028273783,,,0,,0,6.783333273,,0,9.674098051,9.308430999,9.308430999,9.308430999,,0.365667052,,0.00%,0.00%
3,1,,15,8.75,,,,32,9,7,2,5,10,15,19.812,,2,12.192,,4,21.844,,5,17.526,,3,26.162,,1,14.478,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,32,0.122,0.48,1.15,6.56,3.83843534,9,0.289,0.48,1.13,16.4,1.005137247,7,2.76,0.4,1.1,32.8,3.028273783,344.03,344.03,0.405,1,49.2,33.08989718,0,0,0.3,1,49.2,0,33.08989718,33.08989718,7.87184637,40.96174355,3,1,74.12136968,0,17.63293587,91.75430555,0.81,0.00,0.19,,,,0,0,0,0,2.421786294,2.421786294,2.421786294,,5.424801298,0,,,0,3.028273783,,,0,,0,6.783333273,,0,12.20813457,45.87715278,45.87715278,45.87715278,,-33.6690182,,0.00%,0.00%
4,1,,15,8.75,,,,45,11,5,2,5,10,15,19.812,,3,25.908,,5,24.13,,4,29.718,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,45,0.122,0.48,1.15,6.56,5.397799697,11,0.289,0.48,1.13,16.4,1.22850108,5,2.76,0.4,1.1,32.8,2.163052702,392.02,392.02,0.405,1,49.2,37.70572768,0,0,0.3,1,49.2,0,37.70572768,37.70572768,8.789353478,46.49508115,4,1,84.46082999,0,19.68815179,104.1489818,0.81,0.00,0.19,,,,0,0,0,0,3.313150388,3.313150388,3.313150388,,7.42145687,0,,,0,2.163052702,,,0,,0,4.845238052,,0,12.26669492,52.07449089,52.07449089,52.07449089,,-39.80779597,,0.00%,0.00%
1,2,,15,8.75,,,,53,25,6,2,5,10,15,8.9,,2,19.7,,4,53,,2,37,,4,38,,4,17.6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,53,0.122,0.48,1.15,6.56,6.357408532,25,0.289,0.48,1.13,16.4,2.792047908,6,2.76,0.4,1.1,32.8,2.595663242,991.8562837,991.8562837,0.405,1,49.2,95.39988502,0,0,0.3,1,49.2,0,95.39988502,95.39988502,11.74511968,107.1450047,1,2,213.6957425,0,26.30906809,240.0048105,0.89,0.00,0.11,,,,0,0,0,0,4.57472822,4.57472822,4.57472822,,10.24739121,0,,,0,2.595663242,,,0,,0,5.814285663,,0,16.06167688,120.0024053,120.0024053,120.0024053,,-103.9407284,,0.00%,0.00%
2,2,,15,8.75,,,,25,13,4,2,5,10,15,42.2,,4,26.6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,25,0.122,0.48,1.15,6.56,2.998777609,13,0.289,0.48,1.13,16.4,1.451864912,4,2.76,0.4,1.1,32.8,1.730442161,385.7027714,385.7027714,0.405,1,49.2,37.09811658,0,0,0.3,1,49.2,0,37.09811658,37.09811658,6.181084683,43.27920127,2,2,83.09978114,0,13.84562969,96.94541083,0.86,0.00,0.14,,,,0,0,0,0,2.225321261,2.225321261,2.225321261,,4.984719624,0,,,0,1.730442161,,,0,,0,3.876190442,,0,8.860910066,48.47270542,48.47270542,48.47270542,,-39.61179535,,0.00%,0.00%
3,2,,15,8.75,,,,17,15,10,2,5,10,15,17.8,,3,14.1,,4,46.3,,4,56,,4,27.7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,17,0.122,0.48,1.15,6.56,2.039168774,15,0.289,0.48,1.13,16.4,1.675228745,10,2.76,0.4,1.1,32.8,4.326105404,1017.209684,1017.209684,0.405,1,49.2,97.83845556,0,0,0.3,1,49.2,0,97.83845556,97.83845556,8.040502923,105.8789585,3,2,219.1581405,0,18.01072655,237.168867,0.92,0.00,0.08,,,,0,0,0,0,1.85719876,1.85719876,1.85719876,,4.160125222,0,,,0,4.326105404,,,0,,0,9.690476104,,0,13.85060133,118.5844335,118.5844335,118.5844335,,-104.7338322,,0.00%,0.00%
4,2,,15,8.75,,,,16,6,1,2,5,10,15,11.5,,1,28.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,16,0.122,0.48,1.15,6.56,1.91921767,6,0.289,0.48,1.13,16.4,0.670091498,1,2.76,0.4,1.1,32.8,0.43261054,142.8885858,142.8885858,0.405,1,49.2,13.74347764,0,0,0.3,1,49.2,0,13.74347764,13.74347764,3.021919708,16.76539735,4,2,30.78538991,0,6.769100147,37.55449005,0.82,0.00,0.18,,,,0,0,0,0,1.294654584,1.294654584,1.294654584,,2.900026268,0,,,0,0.43261054,,,0,,0,0.96904761,,0,3.869073879,18.77724503,18.77724503,18.77724503,,-14.90817115,,0.00%,0.00%
1,3,,15,8.75,,,,11,5,4,2,5,10,15,13.2,,3,15.8,,4,14.7,,4,31.3,,4,45.2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,11,0.122,0.48,1.15,6.56,1.319462148,5,0.289,0.48,1.13,16.4,0.558409582,4,2.76,0.4,1.1,32.8,1.730442161,567.7196354,567.7196354,0.405,1,49.2,54.6050762,0,0,0.3,1,49.2,0,54.6050762,54.6050762,3.608313891,58.21339009,1,3,122.3153707,0,8.082623117,130.3979938,0.94,0.00,0.06,,,,0,0,0,0,0.938935865,0.938935865,0.938935865,,2.103216337,0,,,0,1.730442161,,,0,,0,3.876190442,,0,5.979406779,65.1989969,65.1989969,65.1989969,,-59.21959012,,0.00%,0.00%
2,3,,15,8.75,,,,18,10,11,2,5,10,15,8.9,,4,16.4,,4,12.1,,2,42.4,,4,38.4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11.64,18,0.122,0.48,1.15,6.56,2.159119879,10,0.289,0.48,1.13,16.4,1.116819163,11,2.76,0.4,1.1,32.8,4.758715944,583.8706677,583.8706677,0.405,1,49.2,56.15853374,0,0,0.3,1,49.2,0,56.15853374,56.15853374,8.034654986,64.19318872,2,3,125.7951156,0,17.99762717,143.7927427,0.87,0.00,0.13,,,,0,0,0,0,1.637969521,1.637969521,1.637969521,,3.669051727,0,,,0,4.758715944,,,0,,0,10.65952371,,0,14.32857544,71.89637137,71.89637137,71.89637137,,-57.56779593,,0.00%,0.00%
