"","plot","block","elevation_m_lidar","slope_deg_field","wind_exposure","slide_exposure","iron_pan","pair_linear_dist_m","allo_1_standing_MgC.ha","allo_1_alive_standing_MgC.ha","allo_1_dead_standing_MgC.ha","allo_1_coarse_roots_MgC.ha","allo_2_standing_MgC.ha","allo_2_alive_standing_MgC.ha","allo_2_dead_standing_MgC.ha","allo_2_coarse_roots_MgC.ha","allo_3_standing_MgC.ha","allo_3_alive_standing_MgC.ha","allo_3_dead_standing_MgC.ha","allo_3_coarse_roots_MgC.ha","downed_MgC.ha","sd_allo_1_standing_MgC.ha","sd_allo_1_alive_standing_MgC.ha","sd_allo_1_dead_standing_MgC.ha","sd_allo_1_coarse_roots_MgC.ha","sd_allo_2_standing_MgC.ha","sd_allo_2_alive_standing_MgC.ha","sd_allo_2_dead_standing_MgC.ha","sd_allo_2_coarse_roots_MgC.ha","sd_allo_3_standing_MgC.ha","sd_allo_3_alive_standing_MgC.ha","sd_allo_3_dead_standing_MgC.ha","sd_allo_3_coarse_roots_MgC.ha","mean.allo.1.ecosystem.C_Mg.C.ha","mean.allo.2.ecosystem.C_Mg.C.ha","mean.allo.3.ecosystem.C_Mg.C.ha","sd.allo.1.ecosystem.C_Mg.C.ha","sd.allo.2.ecosystem.C_Mg.C.ha","sd.allo.3.ecosystem.C_Mg.C.ha","foliar_percent_N"
"1","1","1",73.9813309,6,2.66666666666667,"low","0",122.215971,163.697835935333,25.2843154664714,138.413520468862,38.3908166694611,137.980663420383,3.65265013524769,134.328013285135,31.2784937939397,141.65379570005,7.31991066371956,134.33388503633,32.0818732365664,39.02025232,89.0390327710565,10.4617022328633,88.3082646901555,19.4301416340142,88.1870737502395,0.052154099537617,88.1867976935854,19.1590667061575,88.1890420248117,1.18665038048336,88.1869741101753,19.1595816127449,241.108904924794,208.279409534323,212.755921256616,91.1344049232952,90.2442785647997,90.2463112865531,1.07666666666667
"2","2","1",98.4850006,10,4.66666666666667,"high","0",122.215971,721.508955448096,541.26754740907,180.241408039026,154.190336258173,544.39117829946,382.094969155324,162.296209144135,116.281696432505,1323.04009563564,1110.6284362736,212.411659362042,281.352842728731,76.4591972975,82.291226452024,43.1927396228425,69.8056289388164,17.7537748816398,68.9785845702778,0.0825530689373217,68.9786969483564,14.9610416241733,98.2172958943964,67.9426176794886,71.1435559726352,21.0275466738536,952.158489003769,737.132072029465,1680.85213566187,84.1845738453681,70.5824191693598,100.442993443687,1.31333333333333
"3","3","2",26.6700001,5,7.66666666666667,"high","0",113.886276,395.853481483841,224.075429093406,171.778052390435,88.617927401705,334.064720704177,164.513105815864,169.551614888313,71.5538384830931,842.877123789961,519.30427062961,323.572853160351,179.85500354272,89.2604686,59.735652334484,26.3859711366237,53.6169650377088,13.218578321897,51.3874019173842,0.0790047191363441,51.3871718895365,11.067302510695,59.5160226490034,24.4382208674498,54.4140705051683,12.7719063998141,573.731877485546,494.87902778727,1111.99259593268,61.1807075202508,52.565675689389,60.8709992117946,1.44
"4","4","2",22.3299999,10,8.66666666666667,"low","1",113.886276,266.5895780702,152.030908586527,114.558669483674,58.6901799187604,157.462078515405,91.2599165010487,66.2021620143567,34.2275542919835,449.606769249548,271.471405708303,178.135363541245,96.7582538984378,274.960577255,30.5709133271554,23.3397455011601,20.0005861960161,6.82814821363224,11.4837898105068,0.0916615925255645,11.4825904436757,2.75215721181955,21.835857248908,14.5499314432312,16.3488660789674,4.8241817452523,600.24033524396,466.650210062389,821.325600402986,31.3241815485062,11.8089710699311,22.3624102302483,1.275
"5","5","3",60.8143692,7,9,"high","0",187.193009,626.213342214105,306.329807122573,319.883535091533,159.067038511607,537.834003447321,212.96152560229,324.872477845031,114.246262634932,1078.95889260965,733.981632946321,344.97725966333,229.019215014356,74.0750582825,159.854145455826,27.3373479501412,157.273435145289,41.2762228421835,157.223923346982,0.0682051563276847,157.223471756639,33.3477204680287,160.71395025467,33.519872342319,157.354120545687,34.0859689639986,859.355439008212,726.155324364753,1382.05316590651,165.097166515752,160.721599460158,164.288852594067,1.18
"6","6","3",44.4437332,6,8.66666666666667,"low","1",187.193009,502.853439290985,362.336373805505,140.51706548548,107.808270193665,399.398714101855,275.73561538946,123.663098712395,84.9225879133019,1009.64122330676,877.620906371194,132.020316935565,214.347091056982,31.39876994375,68.6916946762532,28.9639063306619,62.206317712077,14.7102726981463,61.738803915574,0.073942605224946,61.738868777452,13.1653109351583,77.3407721270468,46.712127817615,61.759658042233,16.4396207170662,642.0604794284,515.720071958907,1255.38708430749,70.2491355131821,63.1268985531928,79.0686800353261,1.46333333333333
"7","7","4",41.8987007,6,5,"low","0",170.426498,289.963439099324,163.266592538301,126.696846561022,62.1926963828819,232.733121981382,115.363198725008,117.369923256374,49.6470600740377,566.784334581376,384.506541997216,182.27779258416,120.786396937086,31.34636932375,70.6494457096737,22.3946623130503,66.4422729857482,15.118962356747,65.9899076554631,0.0658323010319863,65.9896821469144,14.0982180355798,70.1503469477048,20.5299696799526,66.6570512933643,14.9786102536012,383.502504805956,313.72655137917,718.917100842212,72.2490636744094,67.4790905700076,71.7316523022622,1.23333333333333
"8","8","4",62.3664017,5,3.66666666666667,"high","1",170.426498,1015.08372680731,727.481332227178,287.602394580129,214.32365202475,794.416171603096,508.54349472619,285.872676876906,167.70687365664,1741.20745312634,1455.1611565962,286.046296530145,367.613057060692,36.28749137625,133.811702102825,64.2529038772801,115.208051007265,28.2521681206417,115.184642189349,0.0528601801595925,115.185251826042,24.3268029692565,165.6719297124,115.072531939854,115.189224032274,34.9480674266007,1265.69487020831,998.410536635986,2145.10800156328,136.76167819668,117.725507597094,169.317913144134,1.49
"9","9","5",60.1599998,8,3.66666666666667,"high","0",142.625447,397.012814439066,187.177614400265,209.835200038801,84.6143388789446,343.225753019433,134.129165564142,209.096587455292,72.831713442414,666.844315050381,450.801264053949,216.043050996432,141.44063300143,47.98435709625,105.30366321456,21.1814277315621,102.931327486991,22.35098782963,102.850983583009,0.0591171445970133,102.851163700315,21.8059959923886,107.607667354904,31.5398211207062,102.869712432032,22.8092974524329,529.611510414261,464.041823558097,856.269305148061,107.649561742562,105.137178415689,109.998518734741,1.07333333333333
"10","10","5",50.7271423,10,4.33333333333333,"low","1",142.625447,223.605895840438,81.0747253237904,142.531170516648,47.8505834529532,189.2007857353,50.1545136254527,139.046272109847,40.3077649488841,300.722644077088,130.39479514881,170.327848928278,64.2074963440957,14.362662155,63.3880675941559,17.1840709895033,60.7110992358112,13.4734726971281,60.311420318714,0.0636728301672695,60.3113492079902,12.7898595319123,61.6359638158715,11.6516217613188,60.5440135096531,13.0742955884979,285.819141448391,243.871212839184,379.292802576184,64.8041787220665,61.6526392598617,63.0073744941561,1.24333333333333
