plot,pit,plot.slope_degrees,probe.depth_cm,sub.horizon,sub.thickness_cm,master.horizon,carbon.id,bulk.density.id
1,w,6,56,Oi,5,O,1-6,NA
1,w,6,56,Oe,19,O,1-7,NA
1,w,6,56,A,12,A,1-8,1-1
1,w,6,56,E,2,E,1-2,1-2
1,w,6,56,Bh,2,B,1-3,1-3
1,w,6,56,Bs,4,B,1-11,1-4
1,w,6,56,B,10,B,1-5,1-5
1,w,6,56,C,NA,C,NA,NA
2,w,10,106,Oe,6,O,2-5,2-1
2,w,10,106,Oa,7.4,O,2-6,2-2
2,w,10,106,Oa,14.2,O,2-7,2-3
2,w,10,106,A,15.3,A,2-8,2-4
2,w,10,106,C,NA,C,NA,NA
3,s,5,45,Oe,1,O,3-5,NA
3,s,5,45,Oa,1.5,O,3-6,NA
3,s,5,45,A,2.5,A,3-18,3-18
3,s,5,45,E,3,E,3-7,NA
3,s,5,45,B,13,B,3-8,3-19
3,s,5,45,C,NA,C,NA,NA
4,e,10,170,O,9,O,4-13,4-13
4,e,10,170,A,6,A,4-24,4-24
4,e,10,170,E,3,E,4-20,4-17
4,e,10,170,Bh,8,B,4-21,4-14
4,e,10,170,Bx,0.5,B,4-22,NA
4,e,10,170,B,15,B,4-23,4-15
4,e,10,170,C,NA,C,NA,NA
5,s,7,180,O,8,O,5-1,5-10
5,s,7,180,A,6,A,5-2,5-14
5,s,7,180,E,0.5,E,5-3,NA
5,s,7,180,Ab,1,A,5-4,NA
5,s,7,180,Eb,0.5,E,5-6,NA
5,s,7,180,B,10,B,5-15,5-15
5,s,7,180,C,NA,C,NA,NA
6,c,6,55,O,17,O,6-4,NA
6,c,6,55,A,10,A,6-5,6-1
6,c,6,55,E,6,E,6-2,6-2
6,c,6,55,Bh,1,B,NA,NA
6,c,6,55,Bs,2,B,NA,NA
6,c,6,55,Bx,0.1,B,6-7,NA
6,c,6,55,B,10,B,6-6,6-3
6,c,6,55,C,NA,C,NA,NA
7,c,6,109,O,12,O,NA,NA
7,c,6,109,B,31,B,7-4,7-1
7,c,6,109,Bs,3,B,7-2,7-2
7,c,6,109,B,6,B,7-5,7-3
7,c,6,109,C,NA,C,NA,NA
8,c,5,134,O,2,O,8-1,NA
8,c,5,134,A,3,A,8-3,8-3
8,c,5,134,B,7.5,B,8-10,8-4
8,c,5,134,Ab,3,A,8-11,8-5
8,c,5,134,Eb,0.5,E,NA,NA
8,c,5,134,Bsb,6.5,B,8-12,8-7
8,c,5,134,Bb,8,B,8-13,8-8
8,c,5,134,Ab,3,A,8-9,8-9
8,c,5,134,C,NA,C,NA,NA
9,c,8,130,O,24,O,9-6,NA
9,c,8,130,A,20,A,9-3,9-3
9,c,8,130,B,10,B,9-2,9-2
9,c,8,130,C,NA,C,NA,NA
10,c,10,200,O,47,O,NA,NA
10,c,10,200,A,13,A,10-9,10-12
10,c,10,200,Bx,0.1,B,10-8,NA
10,c,10,200,Bs,12,B,10-7,10-11
10,c,10,200,Bx,0.1,B,NA,NA
10,c,10,200,B,30,B,10-10,10-10
10,c,10,200,C,NA,C,NA,NA
11,c,10,112,O,30,O,11-9,11-8
11,c,10,112,A,6.5,A,11-10,11-5
11,c,10,112,E,0.1,E,NA,NA
11,c,10,112,Bx,0.1,B,NA,NA
11,c,10,112,Bs,7,B,11-11,11-6
11,c,10,112,B,10,B,11-12,11-7
11,c,10,112,C,NA,C,NA,NA
12,c,10,41,O,20,O,12-5,12-5
12,c,10,41,A,2,A,NA,NA
12,c,10,41,E,2,E,12-6,12-6
12,c,10,41,Ab,1.5,A,NA,NA
12,c,10,41,Bsb,2,B,12-7,12-7
12,c,10,41,Ab,0.5,A,NA,NA
12,c,10,41,Bb,2,B,12-8,12-8
12,c,10,41,Ab,6,A,12-9,12-9
12,c,10,41,Bb,4,B,NA,NA
12,c,10,41,C,NA,C,NA,NA
13,c,5,135,O,17,O,13-12,13-5
13,c,5,135,E,2,E,NA,NA
13,c,5,135,Bsh,5,B,13-13,13-6
13,c,5,135,Bh,2.5,B,13-7,13-7
13,c,5,135,Bsm,0.1,B,NA,NA
13,c,5,135,B,25,B,13-8,13-8
13,c,5,135,Ab,1,A,13-9,13-9
13,c,5,135,Eb,1.5,E,13-10,13-10
13,c,5,135,Bs,15,B,13-11,13-11
13,c,5,135,C,NA,C,NA,NA
14,c,6,59,O,13,O,14-8,14-4
14,c,6,59,E,3,E,14-5,14-5
14,c,6,59,Bs,3.5,B,14-9,14-6
14,c,6,59,B,20,B,14-7,14-7
14,c,6,59,C,NA,C,NA,NA
15,c,10,207,O,65,O,15-5,15-5
15,c,10,207,C,NA,C,NA,NA
16,c,5,72,O,16,O,16-5,16-5
16,c,5,72,B,30,B,16-6,16-6
16,c,5,72,C,NA,C,NA,NA
17,c,6,150,O,6.5,O,17-5,17-5
17,c,6,150,B,9,B,17-6,17-6
17,c,6,150,A,1,A,NA,NA
17,c,6,150,E,1,E,17-7,17-7
17,c,6,150,Bs,6,B,17-8,17-8
17,c,6,150,B,6,B,17-14,NA
17,c,6,150,E,1,E,NA,NA
17,c,6,150,A,3.5,A,17-15,17-9
17,c,6,150,B,20,B,17-3,17-10
17,c,6,150,C,NA,C,NA,NA
18,c,9,46,O,4.5,O,18-9,18-5
18,c,9,46,E,1,E,18-10,18-6
18,c,9,46,Bh,2.5,B,18-11,18-7
18,c,9,46,Bs,3,B,18-12,18-8
18,c,9,46,Bsm,0.1,B,NA,NA
18,c,9,46,B,10,B,18-13,NA
18,c,9,46,C,NA,C,NA,NA
19,c,8,93,O,26,O,19-9,19-4
19,c,8,93,E,3,E,19-10,19-5
19,c,8,93,Bs,1,B,19-6,19-6
19,c,8,93,B,5,B,NA,NA
19,c,8,93,Ab,2,A,19-7,19-7
19,c,8,93,Eb,0.5,E,NA,NA
19,c,8,93,Bsb,2,B,19-11,19-8
19,c,8,93,C,NA,C,NA,NA
20,c,5,102,O,3,O,20-4,20-5
20,c,5,102,B,30,B,20-6,NA
20,c,5,102,C,NA,C,NA,NA
21,c,10,166,O,12,O,21-9,NA
21,c,10,166,A,12,A,21-10,21-4
21,c,10,166,E,5.5,E,21-11,21-5
21,c,10,166,Bsm,3,B,21-12,NA
21,c,10,166,B,15,B,21-7,21-7
21,c,10,166,Bg,30,B,21-15,21-8
21,c,10,166,C,NA,C,NA,NA
22,c,10,141,O,32,O,22-4,22-4
22,c,10,141,E,2,E,22-5,22-5
22,c,10,141,Bsm,0.5,B,22-9,NA
22,c,10,141,Bs,2,B,22-10,22-6
22,c,10,141,Bsm,0.5,B,NA,NA
22,c,10,141,B,23,B,22-11,22-7
22,c,10,141,C,NA,C,NA,NA
23,c,6,90,O,23.3,O,23-12,23-6
23,c,6,90,A,3,A,23-13,23-7
23,c,6,90,Bsm,4.5,B,23-14,23-8
23,c,6,90,Bs,4,B,23-15,23-9
23,c,6,90,B,23,B,23-16,23-10
23,c,6,90,Bsm,8,B,23-17,NA
23,c,6,90,B,10,B,23-5,23-11
23,c,6,90,C,NA,C,NA,NA
24,c,7,206,O,90,O,24-6,24-5
24,c,7,206,C,NA,C,NA,NA
25,c,5,94,O,18,O,25-9,25-5
25,c,5,94,Bh,9.5,B,25-10,25-6
25,c,5,94,B,12.5,B,25-11,25-7
25,c,5,94,Bh,10.5,B,25-12,25-8
25,c,5,94,C,NA,C,NA,NA
26,c,9,205,O,12.5,O,26-8,26-6
26,c,9,205,Bh,42,B,26-9,26-7
26,c,9,205,C,NA,C,NA,NA
27,c,7,76,O,6.5,O,27-8,27-5
27,c,7,76,Or,4,O,27-9,NA
27,c,7,76,Bh,4.5,B,27-10,27-6
27,c,7,76,B,30,B,27-11,27-7
27,c,7,76,C,NA,C,NA,NA
28,c,8,205,O,11,O,28-8,28-5
28,c,8,205,B,28,B,28-9,NA
28,c,8,205,Bw,4,B,28-13,28-12
28,c,8,205,Ob,1,O,28-10,28-6
28,c,8,205,Eb,0.5,E,28-11,NA
28,c,8,205,Bb,25,B,28-7,28-7
