plot,spp,dbh_in,dbh_cm,percent_canopy,decay_class,field_height_m,field_height_ft,o1,o2,o_dist_m,broken,dead
1,TSHE,14.9,38.0,0,3,,,-9,77,5,1,1
1,TSHE,8.7,22.0,0,5,3.048,10,,,,1,1
1,TSME,7.3,18.5,0,5,,,-20,11,5,1,1
1,TSHE,6.8,17.3,100,,,,,,,,
1,TSHE,6.5,16.6,0,5,,,-17,5,5,1,1
1,TSHE,5.6,14.3,80,,,,,,,,
1,TSME,5.5,13.9,0,2,,,-12,50,5,1,1
1,TSME,5.0,12.7,85,,,,,,,,
1,TSHE,4.7,12.0,0,1,,,-34,87,5,1,1
1,TSME,4.5,11.5,85,,,,,,,,
1,TSME,4.3,11.0,80,,,,,,,,
1,TSME,4.1,10.3,0,4,,,-33,42,5,1,1
1,TSME,3.2,8.3,70,,,,,,,,
1,TSHE,2.4,6.0,75,,,,,,,,
1,TSME,1.8,4.5,85,,,,,,,,
1,TSME,1.6,4.0,65,,,,,,,,
1,TSME,1.5,3.7,0,2,,,,,,,1
1,TSHE,1.4,3.6,30,,,,,,,,
1,TSHE,1.2,3.1,65,,,,,,,,
1,TSHE,1.1,2.9,60,,,,,,,,
1,TSHE,1.1,2.8,0,2,,,,,,,1
1,TSHE,1.0,2.5,0,2,,,-12,16,5,1,1
1,TSME,0.8,2.1,0,2,,,-13,25,5,1,1
1,TSHE,0.6,1.7,45,,,,,,,,
1,TSHE,0.3,0.9,0,4,,,-18,7,5,1,1
1,TSHE,0.3,0.8,0,2,,,,,,,1
1,TSME,0.2,0.6,50,,,,,,,,
2,PISI,46.0,116.8,100,,,,,,,,
2,PISI,35.4,89.8,90,,,,,,,,
2,PISI,32.1,81.6,100,,,,,,,,
2,TSHE,30.0,76.3,100,,,,,,,,
2,PISI,27.2,69.0,0,2,,,,,,,1
2,TSHE,23.7,60.2,90,,,,,,,,
2,TSHE,21.1,53.5,90,,,,,,,,
2,TSHE,19.0,48.2,0,2,3.453215483,11.33,,,,1,1
2,TSHE,14.8,37.6,100,,,,,,,,
2,TSHE,14.6,37.0,90,,,,,,,,
2,PISI,13.3,33.7,70,,,,,,,,
2,TSHE,12.1,30.8,85,,,,,,,,
2,TSHE,11.8,30.0,90,,,,,,,,
2,TSHE,11.8,29.9,90,,,,,,,,
2,TSHE,11.7,29.6,0,4,2.0064984,6.583,,,,1,1
2,TSHE,10.7,27.3,90,,,,,,,,
2,TSHE,10.6,27.0,80,,,,,,,,
2,TSHE,10.2,25.9,0,1,,,-12,81,5,1,1
2,TSHE,10.0,25.3,100,,,,,,,,
2,TSHE,8.5,21.6,85,,,,,,,,
2,TSHE,8.5,21.5,100,,,,,,,,
2,TSHE,7.5,19.0,90,,,,,,,,
2,TSHE,7.1,18.1,0,3,,,-17,30,5,1,1
2,TSHE,7.1,18.0,100,,,,,,,,
2,TSHE,6.5,16.4,75,,,,,,,,
2,TSHE,5.5,14.0,70,,,,,,,,
2,TSHE,5.4,13.8,90,,,,,,,,
2,TSHE,5.4,13.7,0,4,,,-30,51,5,1,1
2,TSHE,5.1,13.0,0,2,,,,,,,1
2,TSHE,4.6,11.8,100,,,,,,,,
2,TSHE,3.9,9.9,0,2,,,,,,,1
2,TSHE,3.9,9.9,90,,,,,,,,
2,TSHE,3.8,9.6,85,,,,,,,,
2,TSHE,3.4,8.6,0,4,,,,,,,1
2,TSHE,3.3,8.3,0,3,3.453215483,11.33,,,,1,1
2,TSHE,3.1,8.0,0,3,,,,,,,1
2,TSHE,3.1,7.8,0,2,,,,,,,1
2,TSHE,3.0,7.6,0,3,,,-8,56,5,1,1
2,TSHE,3.0,7.5,0,3,1.6764,5.5,,,,1,1
2,TSHE,2.7,6.9,0,2,,,,,,,1
2,TSHE,2.4,6.2,0,3,,,,,,,1
2,TSHE,2.2,5.6,0,3,,,,,,,1
2,TSHE,2.2,5.5,0,4,1.8797016,6.167,,,,1,1
2,TSHE,2.2,5.5,0,missing,,,,,,,1
2,TSHE,2.0,5.0,0,3,2,6.562,,,,1,1
3,TSHE,27.1,68.8,0,missing,,,,,,,1
3,TSHE,23.5,59.8,0,2,,,-20,29,5,1,1
3,TSHE,21.4,54.3,80,,,,,,,,
3,TSHE,21.4,54.3,100,,,,,,,,
3,PISI,20.4,51.8,100,,,,,,,,
3,TSHE,19.9,50.5,80,,,,,,,,
3,TSHE,18.4,46.7,0,2,,,,,,,1
3,TSHE,18.3,46.5,80,,,,,,,,
3,PISI,17.0,43.3,80,,,,,,,,
3,TSHE,16.8,42.6,75,,,,,,,,
3,TSHE,16.7,42.5,95,,,,,,,,
3,TSHE,15.9,40.3,0,3,,,-6,38,5,1,1
3,TSHE,14.6,37.2,0,4,2.4384,8,,,,1,1
3,TSHE,13.7,34.8,0,3,,,,,,,1
3,TSHE,13.7,34.7,90,,,,,,,,
3,TSHE,13.5,34.3,95,,,,,,,,
3,TSHE,11.6,29.5,50,,,,,,,,
3,TSHE,10.9,27.7,80,,,,,,,,
3,TSHE,10.8,27.5,80,,,,,,,,
3,TSHE,10.7,27.2,90,,,,,,,,
3,TSHE,10.6,26.9,0,4,1.6764,5.5,,,,1,1
3,TSHE,9.2,23.4,0,3,,,-12,20,5,1,1
3,TSHE,9.0,22.8,80,,,,,,,,
3,TSHE,8.1,20.5,0,2,,,-9,66,5,1,1
3,TSHE,7.5,19.0,0,3,2.4384,8,,,,1,1
3,TSHE,6.8,17.3,90,,,,,,,,
3,TSHE,6.7,16.9,0,4,,,,,,,1
3,PISI,5.9,15.0,75,,,,,,,,
3,PISI,5.3,13.4,0,2,3.048,10,,,,1,1
3,TSHE,4.4,11.3,60,,,,,,,,
3,TSHE,4.3,10.9,0,missing,,,,,,,1
3,PISI,4.1,10.5,70,,,,,,,,
3,TSHE,4.1,10.4,50,,,,,,,,
3,TSHE,4.1,10.3,0,1,,,,,,,1
3,TSHE,3.2,8.2,0,3,,,,,,,1
3,TSHE,2.7,6.9,40,,,,,,,,
3,TSHE,2.6,6.6,0,missing,,,,,,,1
3,TSHE,2.5,6.4,0,1,,,,,,,1
3,TSHE,2.4,6.0,0,missing,,,,,,,1
3,TSHE,2.1,5.4,0,missing,,,,,,,1
3,TSHE,2.0,5.0,0,1,,,,,,,1
3,TSHE,2.0,5.0,90,,,,,,,,
3,TSHE,1.8,4.5,0,missing,,,,,,,1
3,TSHE,1.5,3.9,0,1,,,,,,,1
3,TSHE,1.5,3.7,0,1,,,,,,,1
3,TSHE,1.3,3.3,80,,,,,,,,
3,TSHE,1.1,2.9,0,1,,,,,,,1
3,TSHE,1.1,2.9,0,1,,,,,,,1
3,TSHE,1.1,2.7,0,1,,,,,,,1
3,TSHE,1.0,2.6,0,2,2.1336,7,,,,1,1
3,TSHE,0.9,2.4,0,1,,,,,,,1
3,TSHE,0.9,2.4,0,1,,,,,,,1
3,TSHE,0.9,2.2,0,1,,,,,,,1
3,TSHE,0.7,1.8,0,1,,,,,,,1
3,TSHE,0.7,1.7,0,1,,,,,,,1
3,TSHE,0.6,1.6,0,1,,,,,,,1
3,TSHE,0.6,1.5,0,missing,,,,,,,1
3,TSHE,0.6,1.5,0,1,,,,,,,1
3,TSHE,0.5,1.2,0,1,,,,,,,1
3,TSHE,0.4,1.1,0,missing,,,,,,,1
