"","plot","block","elevation_m_lidar","slope_deg_field","wind_exposure","slide_exposure","iron_pan","pair_linear_dist_m","spp","dbh_in","dbh_cm","percent_canopy","decay_class","field_height_m","field_height_ft","o1","o2","o_dist_m","broken","dead","garman_height_m","garman_height_ft","jenkins_biomass_kg","standish.garman_biomass_kg","kozak.garman_biomass_kg","jenkins_x_kozak.garman_biomass_kg","standish.garman_x_kozak.garman_biomass_kg","standish.garman_x_kozak.garman_coarse_root_biomass_kg","jenkins_x_kozak.garman_coarse_root_biomass_kg","kozak.garman_coarse_root_biomass_kg"
"1",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",14.9,38,0,"3",22.4493015730435,73.6561584611556,-9,77,5,1,1,28.4324735950934,93.2869458655013,0,0,6519.94788140433,6519.94788140433,6519.94788140433,1391.48517146333,1391.48517146333,1391.48517146333
"2",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSME",7.3,18.5,0,"5",2.7917527170196,9.15974066454132,-20,11,5,1,1,11.659378960283,38.2544223686884,0,0,320.754861147889,320.754861147889,320.754861147889,69.7228787736012,69.7228787736012,69.7228787736012
"3",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",6.8,17.3,100,NA,0,0,0,0,0,0,0,18.2638694931387,59.923755806988,93.8184027422505,0.1,241.5489361935,93.8184027422505,0.1,0.0217910949947188,20.4440572640916,52.6361581446582
"4",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",6.5,16.6,0,"5",1.96609672492292,6.45076335447211,-17,5,5,1,1,23.7803227537792,78.0232389551496,0,0,273.30634350151,273.30634350151,273.30634350151,59.6525368716704,59.6525368716704,59.6525368716704
"5",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",8.7,22,0,"5",3.048,10,0,0,0,1,1,15.2935428025439,50.1781139351466,0,0,19.5153703339041,19.5153703339041,19.5153703339041,4.21802080172666,4.21802080172666,4.21802080172666
"6",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",1.1,2.8,0,"2",0,0,0,0,0,0,1,10.9569351071691,35.9497040866217,2.09114929427789,0.1,3.79200558577816,2.09114929427789,0.1,0.0265620756679231,0.555452657875332,1.00723539302627
"7",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",1,2.5,0,"2",2.49650973714415,8.19104844756996,-12,16,5,1,1,2.59650973714415,8.51914844756996,0,0,73.5449597596589,73.5449597596589,73.5449597596589,20.0967260078964,20.0967260078964,20.0967260078964
"8",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSME",0.8,2.1,0,"2",3.48587924640281,11.4371698074476,-13,25,5,1,1,3.86317203780642,12.6750674560429,0,0,967.703030818324,967.703030818324,967.703030818324,278.099130542782,278.099130542782,278.099130542782
"9",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",0.6,1.7,45,NA,0,0,0,0,0,0,0,3.01670761927167,9.89781769883036,1.03196013364163,0.1,0.310620582297802,1.03196013364163,0.1,0.0309486385514195,0.319377611755495,0.0961328412816612
"10",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",0.3,0.9,0,"4",2.23852128567905,7.34458833831298,-18,7,5,1,1,2.33852128567905,7.67268833831298,0,0,0.00877721365070259,0.00877721365070259,0.00877721365070259,0.00383875422853926,0.00383875422853926,0.00383875422853926
"11",1,1,73.9813309,6,2.66666666666667,"0","0",122.215971,"TSHE",0.3,0.8,0,"2",0,0,0,0,0,0,1,1.4,4.5934,0.1,563.962012177559,0.036038362852837,0.1,563.962012177559,270.382303106186,0.0479433538550215,0.0172779998260922
