"","plot","spp","dbh_in","dbh_cm","percent_canopy","decay_class","field_height_m","field_height_ft","o1","o2","o_dist_m","broken","dead","fvs_height_m","fvs_height_ft","garman_height_m","garman_height_ft","hanus_height_m","hanus_height_ft","jenkins_biomass_kg","standish.fvs_biomass_kg","standish.garman_biomass_kg","standish.hanus_biomass_kg","kozak.fvs_biomass_kg","kozak.garman_biomass_kg","kozak.hanus_biomass_kg","jenkins_x_kozak.fvs_biomass_kg","jenkins_x_kozak.garman_biomass_kg","jenkins_x_kozak.hanus_biomass_kg","standish.fvs_x_kozak.fvs_biomass_kg","standish.fvs_x_kozak.garman_biomass_kg","standish.fvs_x_kozak.hanus_biomass_kg","standish.garman_x_kozak.fvs_biomass_kg","standish.garman_x_kozak.garman_biomass_kg","standish.garman_x_kozak.hanus_biomass_kg","standish.hanus_x_kozak.fvs_biomass_kg","standish.hanus_x_kozak.garman_biomass_kg","standish.hanus_x_kozak.hanus_biomass_kg"
"1",1,"TSHE",14.9,38,0,"3",21.0582579510864,69.0921443375144,-9,77,5,1,1,21.1582579510864,69.4202443375144,39.4124081207506,129.312111044183,31.2059678099112,102.386780384319,0,0,0,0,1188.34048057928,3571.11494939914,0,1188.34048057928,3571.11494939914,0,1188.34048057928,3571.11494939914,0,1188.34048057928,3571.11494939914,0,1188.34048057928,3571.11494939914,0
"2",1,"TSHE",8.7,22,0,"5",3.048,10,0,0,0,1,1,13.9247245044275,45.6870210990266,23.7973148488045,78.0789900189277,16.036703229895,52.6164232972855,0,0,0,0,136.798105386939,77.088201459597,0,136.798105386939,77.088201459597,0,136.798105386939,77.088201459597,0,136.798105386939,77.088201459597,0,136.798105386939,77.088201459597,0
"3",1,"TSME",7.3,18.5,0,"5",2.7917527170196,9.15974066454132,-20,11,5,1,1,12.1340586683399,39.8118464908234,12.9739872830253,42.5676522756061,12.0918346527257,39.6733094955931,0,0,0,0,96.7515020393988,96.9844797629626,0,96.7515020393988,96.9844797629626,0,96.7515020393988,96.9844797629626,0,96.7515020393988,96.9844797629626,0,96.7515020393988,96.9844797629626,0
"4",1,"TSHE",6.8,17.3,100,NA,0,0,0,0,0,0,0,11.4777085447053,37.6583617351781,17.9623062008405,58.9343266449578,14.7008667780004,48.2335438986193,94.8282219719459,44.3210749849582,111.750538698704,0,136.809488621424,106.025152152236,116.36921910363,94.8282219719459,94.8282219719459,94.8282219719459,44.3210749849582,44.3210749849582,44.3210749849582,111.750538698704,111.750538698704,111.750538698704,0,0,0
"5",1,"TSHE",6.5,16.6,0,"5",1.96609672492292,6.45076335447211,-17,5,5,1,1,11.0793805285402,36.3514475141403,23.1235357416534,75.868320768365,17.5924848790547,57.7209428881785,0,0,0,0,39.461507595889,80.2364243963872,0,39.461507595889,80.2364243963872,0,39.461507595889,80.2364243963872,0,39.461507595889,80.2364243963872,0,39.461507595889,80.2364243963872,0
"6",1,"TSHE",5.6,14.3,80,NA,0,0,0,0,0,0,0,9.86296591613292,32.3603911708321,10.484087343086,34.398290572665,24.170030487071,79.3018700280798,60.2255709549835,91.7986893069743,0,0,100.514588852941,157.562106412702,469.394976761508,60.2255709549835,60.2255709549835,60.2255709549835,91.7986893069743,91.7986893069743,91.7986893069743,0,0,0,0,0,0
"7",1,"TSME",5.5,13.9,0,"2",7.02155077132116,23.0377080807047,-12,50,5,1,1,9.7257374347106,31.9101445232855,8.72727267718934,28.6341816538582,15.1944908299224,49.8531244129755,0,0,0,0,101.723360956883,132.226196523016,0,101.723360956883,132.226196523016,0,101.723360956883,132.226196523016,0,101.723360956883,132.226196523016,0,101.723360956883,132.226196523016,0
"8",1,"TSME",5,12.7,85,NA,0,0,0,0,0,0,0,9.03304101233821,29.6374075614817,7.87992111341211,25.8540211731051,7.07673841675437,23.2187787453711,46.7040766561336,65.2115654020536,8.8395248825431,0,66.0252399440716,65.24112415113,102.644312284384,46.7040766561336,46.7040766561336,46.7040766561336,65.2115654020536,65.2115654020536,65.2115654020536,8.8395248825431,8.8395248825431,8.8395248825431,0,0,0
"9",1,"TSHE",4.7,12,0,"1",8.51199363110685,27.9278511036616,-34,87,5,1,1,8.61199363110685,28.2559511036616,16.2862582429718,53.4352132951906,12.4891294086886,40.9768335899073,0,0,0,0,104.625337938153,132.641680225248,0,104.625337938153,132.641680225248,0,104.625337938153,132.641680225248,0,104.625337938153,132.641680225248,0,104.625337938153,132.641680225248,0
"10",1,"TSME",4.5,11.5,85,NA,0,0,0,0,0,0,0,8.32893874975794,27.3272480379558,4.7850352221442,15.6997005638551,9.51784459262447,31.2280481084009,33.8824637043056,33.1560728245505,23.2466922913381,0,246.374244711366,33.1925022122362,42.95063101189,33.8824637043056,33.8824637043056,33.8824637043056,33.1560728245505,33.1560728245505,33.1560728245505,23.2466922913381,23.2466922913381,23.2466922913381,0,0,0
